league,pos,team,year,round,stage
NORTHERN PREMIER LEAGUE PREMIER DIVISION,1.0,MARINE,1994.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,2.0,LEEK TOWN,1994.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,16.0,ACCRINGTON STANLEY,1994.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,18.0,KNOWSLEY UNITED,1994.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE DIVISION ONE,10.0,GRETNA,1994.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,3.0,GUISELEY,1995.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,4.0,HYDE UNITED,1995.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,6.0,SPENNYMOOR UNITED,1995.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,9.0,BISHOP AUCKLAND,1995.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,10.0,WITTON ALBION,1995.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,4.0,BARROW,1996.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,6.0,BLYTH SPARTANS,1996.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,9.0,SPENNYMOOR UNITED,1996.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,12.0,MARINE,1996.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,13.0,WITTON ALBION,1996.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,18.0,COLWYN BAY,1996.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,6.0,BOSTON UNITED,1997.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,12.0,RUNCORN,1997.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,16.0,COLWYN BAY,1997.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,2.0,BOSTON UNITED,1998.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,5.0,GAINSBOROUGH TRINITY,1998.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,6.0,EMLEY,1998.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,7.0,WINSFORD UNITED,1998.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,13.0,COLWYN BAY,1998.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,18.0,BLYTH SPARTANS,1998.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE DIVISION ONE,5.0,LINCOLN UNITED,1998.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,12.0,RUNCORN,1999.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,13.0,EMLEY,1999.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,19.0,LANCASTER CITY,1999.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,3.0,GATESHEAD,2000.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,6.0,STALYBRIDGE CELTIC,2000.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,8.0,RUNCORN,2000.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,18.0,BAMBER BRIDGE,2000.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,22.0,GUISELEY,2000.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE DIVISION ONE,10.0,EASTWOOD TOWN,2000.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,6.0,BARROW,2001.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,11.0,GATESHEAD,2001.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,20.0,FRICKLEY ATHLETIC,2001.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE DIVISION ONE,9.0,RADCLIFFE BOROUGH,2001.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,3.0,LANCASTER CITY,2002.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,4.0,WORKSOP TOWN,2002.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,8.0,BARROW,2002.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,9.0,ALTRINCHAM,2002.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,15.0,WHITBY TOWN,2002.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,2.0,BARROW,2003.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,3.0,VAUXHALL MOTORS(W CHESH),2003.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,6.0,HARROGATE TOWN,2003.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,13.0,RUNCORN HALTON,2003.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE DIVISION ONE,14.0,GUISELEY,2003.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,8.0,LANCASTER CITY,2004.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,10.0,GAINSBOROUGH TRINITY,2004.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,11.0,STALYBRIDGE CELTIC,2004.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,15.0,WHITBY TOWN,2004.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,17.0,BRADFORD PARK AVENUE,2004.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,7.0,BURSCOUGH,2006.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,8.0,FLEETWOOD TOWN,2007.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE DIVISION ONE NORTH,12.0,HARROGATE RAILWAY ATHLETIC_,2008.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,1.0,EASTWOOD TOWN,2009.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE DIVISION ONE NORTH,5.0,CURZON ASHTON,2009.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,4.0,FC UNITED OF MANCHESTER,2011.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,2.0,BATH CITY,1990.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,3.0,DARTFORD,1990.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,9.0,GLOUCESTER CITY,1990.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,10.0,BROMSGROVE ROVERS,1990.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,13.0,DORCHESTER TOWN,1990.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE MIDLAND DIVISION,1.0,HALESOWEN TOWN,1990.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE MIDLAND DIVISION,18.0,REDDITCH UNITED,1990.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,1.0,FARNBOROUGH,1991.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,8.0,HALESOWEN TOWN,1991.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,15.0,ATHERSTONE UNITED,1991.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,18.0,CHELMSFORD CITY,1991.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE MIDLAND DIVISION,4.0,TAMWORTH,1991.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,1.0,BROMSGROVE ROVERS,1992.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,8.0,HALESOWEN TOWN,1992.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,13.0,ATHERSTONE UNITED,1992.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,17.0,CRAWLEY TOWN,1992.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,2.0,CHELTENHAM TOWN,1993.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,7.0,SOLIHULL BOROUGH,1993.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,20.0,V.S. RUGBY,1993.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE MIDLAND DIVISION,8.0,SUTTON COLDFIELD TOWN,1993.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE SOUTHERN DIVISION,2.0,SALISBURY,1993.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,1.0,FARNBOROUGH,1994.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,5.0,CRAWLEY TOWN,1994.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,17.0,CAMBRIDGE CITY,1994.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE MIDLAND DIVISION,2.0,V.S. RUGBY,1994.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE MIDLAND DIVISION,3.0,WESTON-SUPER-MARE,1994.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,8.0,GRESLEY,1995.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,11.0,CRAWLEY TOWN,1995.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,15.0,CHELMSFORD CITY,1995.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE MIDLAND DIVISION,1.0,NEWPORT (IOW),1995.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE SOUTHERN DIVISION,5.0,ASHFORD TOWN,1995.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE SOUTHERN DIVISION,7.0,BASHLEY,1995.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,1.0,RUSHDEN & DIAMONDS,1996.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,13.0,DORCHESTER TOWN,1996.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,14.0,NEWPORT (IOW),1996.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,16.0,BURTON ALBION,1996.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE SOUTHERN DIVISION,2.0,ASHFORD TOWN,1996.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE SOUTHERN DIVISION,14.0,CINDERFORD TOWN,1996.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,2.0,CHELTENHAM TOWN,1997.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,13.0,SUDBURY TOWN,1997.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,19.0,ASHFORD TOWN,1997.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE MIDLAND DIVISION,12.0,SHEPSHED DYNAMO,1997.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,8.0,KING'S LYNN,1998.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,19.0,BROMSGROVE ROVERS,1998.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE MIDLAND DIVISION,2.0,ILKESTON TOWN,1998.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE MIDLAND DIVISION,3.0,SOLIHULL BOROUGH,1998.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE MIDLAND DIVISION,5.0,WISBECH TOWN,1998.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE SOUTHERN DIVISION,6.0,MARGATE,1998.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,7.0,WORCESTER CITY,1999.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,9.0,TAMWORTH,1999.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,12.0,SALISBURY CITY,1999.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,13.0,BURTON ALBION,1999.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,21.0,GRESLEY,1999.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,2.0,BURTON ALBION,2000.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,4.0,BATH CITY,2000.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,6.0,TAMWORTH,2000.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,9.0,ILKESTON TOWN,2000.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,14.0,CAMBRIDGE CITY,2000.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE EAST DIVISION,4.0,CHELMSFORD CITY,2000.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,2.0,BURTON ALBION,2001.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,6.0,HAVANT & WATERLOOVILLE,2001.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,14.0,ILKESTON TOWN,2001.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,21.0,DORCHESTER TOWN,2001.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,1.0,KETTERING TOWN,2002.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,2.0,TAMWORTH,2002.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,5.0,NEWPORT COUNTY,2002.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,6.0,TIVERTON TOWN,2002.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,8.0,WORCESTER CITY,2002.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,12.0,HINCKLEY UNITED,2002.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,14.0,CAMBRIDGE CITY,2002.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,15.0,WELLING UNITED,2002.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,2.0,STAFFORD RANGERS,2003.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,3.0,DOVER ATHLETIC,2003.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,4.0,TIVERTON TOWN,2003.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,7.0,CRAWLEY TOWN,2003.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,8.0,HAVANT & WATERLOOVILLE,2003.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,20.0,HASTINGS UNITED,2003.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,1.0,CRAWLEY TOWN,2004.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,10.0,WESTON-SUPER-MARE,2004.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,22.0,GRANTHAM TOWN,2004.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE EAST DIVISION,2.0,HISTON,2004.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE EAST DIVISION,6.0,SALISBURY CITY,2004.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,1.0,HISTON,2005.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,6.0,BATH CITY,2005.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,8.0,TIVERTON TOWN,2005.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,9.0,HALESOWEN TOWN,2005.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,4.0,CHIPPENHAM TOWN,2006.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE WEST DIVISION,14.0,BURNHAM,2006.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,3.0,KING'S LYNN_,2007.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,4.0,MAIDENHEAD UNITED,2007.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,18.0,CLEVEDON TOWN,2007.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,2.0,TEAM BATH,2008.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE DIVISION ONE MIDLANDS,7.0,CHASETOWN,2008.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,9.0,EVESHAM UNITED,2009.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,11.0,BRACKLEY TOWN,2009.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE DIVISION ONE MIDLANDS,7.0,BURY TOWN,2009.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,2.0,NUNEATON TOWN,2010.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,9.0,STOURBRIDGE,2010.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,13.0,OXFORD CITY,2010.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE DIVISION ONE SOUTH & WEST,7.0,PAULTON ROVERS,2010.0,FIRST ROUND PROPER,8.0
SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,10.0,SWINDON SUPERMARINE,2011.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,1.0,DARLINGTON,1990.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,2.0,BARNET,1990.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,4.0,MACCLESFIELD TOWN,1990.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,5.0,KETTERING TOWN,1990.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,6.0,WELLING UNITED,1990.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,7.0,YEOVIL TOWN,1990.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,8.0,SUTTON UNITED,1990.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,12.0,TELFORD UNITED,1990.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,13.0,KIDDERMINSTER HARRIERS,1990.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,15.0,NORTHWICH VICTORIA,1990.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,17.0,STAFFORD RANGERS,1990.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,21.0,FARNBOROUGH,1990.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,1.0,BARNET,1991.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,2.0,COLCHESTER UNITED,1991.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,3.0,ALTRINCHAM,1991.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,5.0,WYCOMBE WANDERERS,1991.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,6.0,TELFORD UNITED,1991.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,8.0,RUNCORN,1991.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,10.0,BARROW,1991.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,11.0,WELLING UNITED,1991.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,13.0,KIDDERMINSTER HARRIERS,1991.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,14.0,YEOVIL TOWN,1991.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,15.0,STAFFORD RANGERS,1991.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,16.0,CHELTENHAM TOWN,1991.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,18.0,BOSTON UNITED,1991.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,21.0,SUTTON UNITED,1991.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,1.0,COLCHESTER UNITED,1992.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,2.0,WYCOMBE WANDERERS,1992.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,3.0,KETTERING TOWN,1992.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,5.0,FARNBOROUGH,1992.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,6.0,TELFORD UNITED,1992.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,10.0,WITTON ALBION,1992.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,12.0,WELLING UNITED,1992.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,15.0,YEOVIL TOWN,1992.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,16.0,RUNCORN,1992.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,19.0,KIDDERMINSTER HARRIERS,1992.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,20.0,SLOUGH TOWN,1992.0,FIRST ROUND PROPER,8.0
FOOTBALL CONFERENCE ,1.0,WYCOMBE WANDERERS,1993.0,FIRST ROUND PROPER,8.0
