year,league,pos,round,stage,team,tier
1958.0,EASTERN COUNTIES LEAGUE,3.0,FIRST ROUND PROPER,8.0,SPALDING UNITED,
1958.0,HAMPSHIRE LEAGUE DIVISION ONE,3.0,FIRST ROUND PROPER,8.0,NEWPORT (IOW),
1958.0,ISTHMIAN LEAGUE SENIOR SECTION,2.0,FIRST ROUND PROPER,8.0,WYCOMBE WANDERERS,
1958.0,KENT LEAGUE DIVISION 1,2.0,FIRST ROUND PROPER,8.0,MARGATE,
1958.0,LANCASHIRE COMBINATION DIVISION 1,2.0,FIRST ROUND PROPER,8.0,PRESCOT CABLES,
1958.0,MIDLAND COUNTIES LEAGUE,2.0,FIRST ROUND PROPER,8.0,WISBECH TOWN,
1958.0,NORTH-EASTERN LEAGUE,1.0,FIRST ROUND PROPER,8.0,SOUTH SHIELDS,
1958.0,NORTHERN LEAGUE,3.0,FIRST ROUND PROPER,8.0,CROOK TOWN,
1958.0,SOUTHERN LEAGUE,5.0,FIRST ROUND PROPER,8.0,WORCESTER CITY,
1958.0,WESTERN LEAGUE DIVISION 1,3.0,FIRST ROUND PROPER,8.0,DORCHESTER TOWN,
1959.0,ATHENIAN LEAGUE,14.0,FIRST ROUND PROPER,8.0,HITCHIN TOWN,
1959.0,CENTRAL ALLIANCE DIVISION 1 NORTH,4.0,FIRST ROUND PROPER,8.0,HEANOR TOWN,
1959.0,CHESHIRE COUNTY LEAGUE,7.0,FIRST ROUND PROPER,8.0,RHYL,
1959.0,HAMPSHIRE LEAGUE DIVISION ONE,2.0,FIRST ROUND PROPER,8.0,NEWPORT (IOW),
1959.0,ISTHMIAN LEAGUE SENIOR SECTION,3.0,FIRST ROUND PROPER,8.0,WYCOMBE WANDERERS,
1959.0,KENT LEAGUE DIVISION 1,5.0,FIRST ROUND PROPER,8.0,MARGATE,
1959.0,LANCASHIRE COMBINATION DIVISION 1,5.0,FIRST ROUND PROPER,8.0,MORECAMBE,
1959.0,MIDLAND COUNTIES LEAGUE,4.0,FIRST ROUND PROPER,8.0,SOUTH SHIELDS,
1959.0,NORTHERN LEAGUE,1.0,FIRST ROUND PROPER,8.0,CROOK TOWN,
1959.0,SOUTHERN LEAGUE NORTH WEST,12.0,FIRST ROUND PROPER,8.0,MERTHYR TOWN,
1959.0,SOUTHERN LEAGUE NORTH WEST SECTION,1.0,FIRST ROUND PROPER,8.0,HEREFORD UNITED,
1959.0,SOUTHERN LEAGUE SOUTH EAST SECTION,7.0,FIRST ROUND PROPER,8.0,KING'S LYNN,
1960.0,ATHENIAN LEAGUE,2.0,FIRST ROUND PROPER,8.0,BARNET,
1960.0,CENTRAL ALLIANCE DIVISION 1 NORTH,1.0,FIRST ROUND PROPER,8.0,MATLOCK TOWN,
1960.0,CHESHIRE COUNTY LEAGUE,10.0,FIRST ROUND PROPER,8.0,OSWESTRY TOWN,
1960.0,ISTHMIAN LEAGUE SENIOR SECTION,2.0,FIRST ROUND PROPER,8.0,WYCOMBE WANDERERS,
1960.0,LANCASHIRE COMBINATION DIVISION 1,6.0,FIRST ROUND PROPER,8.0,BURSCOUGH,
1960.0,MIDLAND COUNTIES LEAGUE,4.0,FIRST ROUND PROPER,8.0,SOUTH SHIELDS,
1960.0,NORTHERN LEAGUE,1.0,FIRST ROUND PROPER,8.0,WEST AUCKLAND TOWN,
1960.0,SOUTHERN LEAGUE FIRST DIVISION,7.0,FIRST ROUND PROPER,8.0,MARGATE,
1960.0,WESTERN LEAGUE DIVISION 1,2.0,FIRST ROUND PROPER,8.0,SALISBURY,
1961.0,ATHENIAN LEAGUE,1.0,FIRST ROUND PROPER,8.0,HENDON,
1961.0,CENTRAL ALLIANCE DIVISION 1 NORTH,2.0,FIRST ROUND PROPER,8.0,SUTTON TOWN,
1961.0,CENTRAL ALLIANCE DIVISION 1 SOUTH,2.0,FIRST ROUND PROPER,8.0,LOUGHBOROUGH UNITED,
1961.0,CHESHIRE COUNTY LEAGUE,1.0,FIRST ROUND PROPER,8.0,MACCLESFIELD TOWN,
1961.0,CORINTHIAN LEAGUE,1.0,FIRST ROUND PROPER,8.0,MAIDENHEAD UNITED,
1961.0,ISTHMIAN LEAGUE SENIOR SECTION,2.0,FIRST ROUND PROPER,8.0,WALTHAMSTOW AVENUE,
1961.0,NORTHERN COUNTIES LEAGUE,3.0,FIRST ROUND PROPER,8.0,BLYTH SPARTANS,
1961.0,NORTHERN LEAGUE,2.0,FIRST ROUND PROPER,8.0,BISHOP AUCKLAND,
1961.0,SOUTHERN LEAGUE FIRST DIVISION,1.0,FIRST ROUND PROPER,8.0,KETTERING TOWN,
1961.0,SOUTHERN PREMIER,13.0,FIRST ROUND PROPER,8.0,FC CLACTON,
1961.0,SUSSEX COUNTY LEAGUE DIVISION ONE,1.0,FIRST ROUND PROPER,8.0,CHICHESTER CITY,
1961.0,WESTERN LEAGUE,5.0,FIRST ROUND PROPER,8.0,BRIDGWATER TOWN,
1961.0,YORKSHIRE LEAGUE FIRST DIVISION,10.0,FIRST ROUND PROPER,8.0,BRIDLINGTON TOWN,
1962.0,ATHENIAN LEAGUE,2.0,FIRST ROUND PROPER,8.0,BARNET,
1962.0,BIRMINGHAM AND DISTRICT LEAGUE,2.0,FIRST ROUND PROPER,8.0,BRIERLEY HILL ALLIANCE,
1962.0,CHESHIRE COUNTY LEAGUE,4.0,FIRST ROUND PROPER,8.0,NORTHWICH VICTORIA,
1962.0,EASTERN COUNTIES LEAGUE,8.0,FIRST ROUND PROPER,8.0,HARWICH & PARKESTON,
1962.0,ISTHMIAN LEAGUE SENIOR SECTION,3.0,FIRST ROUND PROPER,8.0,WALTHAMSTOW AVENUE,
1962.0,LANCASHIRE COMBINATION DIVISION 1,1.0,FIRST ROUND PROPER,8.0,MORECAMBE,
1962.0,MIDLAND COUNTIES LEAGUE,3.0,FIRST ROUND PROPER,8.0,WORKSOP TOWN,
1962.0,NORTHERN COUNTIES LEAGUE,2.0,FIRST ROUND PROPER,8.0,SOUTH SHIELDS,
1962.0,NORTHERN LEAGUE,3.0,FIRST ROUND PROPER,8.0,WEST AUCKLAND TOWN,
1962.0,SOUTHERN LEAGUE FIRST DIVISION,5.0,FIRST ROUND PROPER,8.0,MARGATE,
1962.0,WESTERN LEAGUE,7.0,FIRST ROUND PROPER,8.0,BRIDGWATER TOWN,
1963.0,ATHENIAN LEAGUE,1.0,FIRST ROUND PROPER,8.0,ENFIELD,
1963.0,CHESHIRE COUNTY LEAGUE,17.0,FIRST ROUND PROPER,8.0,RHYL,
1963.0,CORINTHIAN LEAGUE,7.0,FIRST ROUND PROPER,8.0,MAIDENHEAD UNITED,
1963.0,ISTHMIAN LEAGUE SENIOR SECTION,1.0,FIRST ROUND PROPER,8.0,WIMBLEDON,
1963.0,LANCASHIRE COMBINATION DIVISION 1,1.0,FIRST ROUND PROPER,8.0,MORECAMBE,
1963.0,MIDLAND COUNTIES LEAGUE,6.0,FIRST ROUND PROPER,8.0,BOSTON UNITED,
1963.0,NORTH EASTERN LEAGUE,1.0,FIRST ROUND PROPER,8.0,SCARBOROUGH,
1963.0,NORTH EASTERN LEAGUE CUP,2.0,FIRST ROUND PROPER,8.0,SOUTH SHIELDS,
1963.0,NORTHERN LEAGUE,1.0,FIRST ROUND PROPER,8.0,CROOK TOWN,
1963.0,NORTHERN REGIONAL,11.0,FIRST ROUND PROPER,8.0,GATESHEAD,
1963.0,SOUTH WESTERN LEAGUE,3.0,FIRST ROUND PROPER,8.0,FALMOUTH TOWN,
1963.0,SOUTHERN LEAGUE FIRST DIVISION,1.0,FIRST ROUND PROPER,8.0,MARGATE,
1963.0,SOUTHERN PREMIER LEAGUE,20.0,FIRST ROUND PROPER,8.0,EBBSFLEET UNITED,
1963.0,WESTERN LEAGUE,4.0,FIRST ROUND PROPER,8.0,ANDOVER,
1964.0,ATHENIAN LEAGUE PREMIER DIVISION,1.0,FIRST ROUND PROPER,8.0,BARNET,
1964.0,CHESHIRE COUNTY LEAGUE,4.0,FIRST ROUND PROPER,8.0,BANGOR CITY,
1964.0,EASTERN COUNTIES LEAGUE,3.0,FIRST ROUND PROPER,8.0,HARWICH & PARKESTON,
1964.0,ISTHMIAN LEAGUE SENIOR SECTION,1.0,FIRST ROUND PROPER,8.0,WIMBLEDON,
1964.0,LANCASHIRE COMBINATION DIVISION 1,1.0,FIRST ROUND PROPER,8.0,CHORLEY,
1964.0,MIDLAND COUNTIES LEAGUE,7.0,FIRST ROUND PROPER,8.0,HEANOR TOWN,
1964.0,NORTH EASTERN LEAGUE,4.0,FIRST ROUND PROPER,8.0,BLYTH SPARTANS,
1964.0,NORTHERN LEAGUE,2.0,FIRST ROUND PROPER,8.0,CROOK TOWN,
1964.0,NORTHERN REGIONAL,1.0,FIRST ROUND PROPER,8.0,GATESHEAD,
1964.0,SOUTHERN DIVISION ONE,20.0,FIRST ROUND PROPER,8.0,EBBSFLEET UNITED,
1964.0,SOUTHERN LEAGUE FIRST DIVISION,1.0,FIRST ROUND PROPER,8.0,FOLKESTONE,
1964.0,WESTERN LEAGUE,3.0,FIRST ROUND PROPER,8.0,BRIDGWATER TOWN,
1965.0,ATHENIAN LEAGUE PREMIER DIVISION,1.0,FIRST ROUND PROPER,8.0,BARNET,
1965.0,CHESHIRE COUNTY LEAGUE,1.0,FIRST ROUND PROPER,8.0,WIGAN ATHLETIC,
1965.0,ISTHMIAN LEAGUE SENIOR SECTION,1.0,FIRST ROUND PROPER,8.0,HENDON,
1965.0,LANCASHIRE COMBINATION DIVISION 1,1.0,FIRST ROUND PROPER,8.0,NETHERFIELD (KENDAL),
1965.0,MIDLAND COUNTIES LEAGUE,15.0,FIRST ROUND PROPER,8.0,SPALDING UNITED,
1965.0,NORTH REGIONAL,5.0,FIRST ROUND PROPER,8.0,SOUTH SHIELDS,
1965.0,NORTHERN LEAGUE,2.0,FIRST ROUND PROPER,8.0,CROOK TOWN,
1965.0,SOUTHERN DIVISION ONE,21.0,FIRST ROUND PROPER,8.0,EBBSFLEET UNITED,
1965.0,SOUTHERN LEAGUE FIRST DIVISION,1.0,FIRST ROUND PROPER,8.0,HEREFORD UNITED,
1965.0,WEARSIDE LEAGUE,10.0,FIRST ROUND PROPER,8.0,ANNFIELD PLAIN,
1965.0,WEST MIDLANDS (REGIONAL) LEAGUE,1.0,FIRST ROUND PROPER,8.0,KIDDERMINSTER HARRIERS,
1965.0,WESTERN LEAGUE,1.0,FIRST ROUND PROPER,8.0,WELTON ROVERS,
1966.0,CHESHIRE COUNTY LEAGUE,1.0,FIRST ROUND PROPER,8.0,ALTRINCHAM,
1966.0,ISTHMIAN LEAGUE SENIOR SECTION,1.0,FIRST ROUND PROPER,8.0,LEYTONSTONE,
1966.0,LANCASHIRE COMBINATION DIVISION 1,1.0,FIRST ROUND PROPER,8.0,SOUTH LIVERPOOL,
1966.0,MIDLAND COUNTIES LEAGUE,3.0,FIRST ROUND PROPER,8.0,GRANTHAM TOWN,
1966.0,NORTH REGIONAL,4.0,FIRST ROUND PROPER,8.0,SOUTH SHIELDS,
1966.0,NORTHERN LEAGUE,8.0,FIRST ROUND PROPER,8.0,CROOK TOWN,
1966.0,NORTHERN REGIONAL,10.0,FIRST ROUND PROPER,8.0,GATESHEAD,
1966.0,SOUTHERN DIVISION ONE,17.0,FIRST ROUND PROPER,8.0,EBBSFLEET UNITED,
1966.0,SOUTHERN LEAGUE FIRST DIVISION,4.0,FIRST ROUND PROPER,8.0,BATH CITY,
1966.0,UNITED COUNTIES LEAGUE DIVISION 1,4.0,FIRST ROUND PROPER,8.0,WELLINGBOROUGH TOWN,
1966.0,WEST MIDLANDS (REGIONAL) LEAGUE PREMIER DIVISION,4.0,FIRST ROUND PROPER,8.0,KIDDERMINSTER HARRIERS,
1967.0,ATHENIAN LEAGUE FIRST DIVISION,3.0,FIRST ROUND PROPER,8.0,CHESHAM UNITED,
1967.0,ATHENIAN LEAGUE SECOND DIVISION,3.0,FIRST ROUND PROPER,8.0,HORSHAM,
1967.0,CHESHIRE COUNTY,6.0,FIRST ROUND PROPER,8.0,WITTON ALBION,
1967.0,CHESHIRE COUNTY LEAGUE,7.0,FIRST ROUND PROPER,8.0,BANGOR CITY,
1967.0,EASTERN COUNTIES LEAGUE,1.0,FIRST ROUND PROPER,8.0,LOWESTOFT TOWN,
1967.0,ISTHMIAN LEAGUE SENIOR SECTION,1.0,FIRST ROUND PROPER,8.0,SUTTON UNITED,
1967.0,LANCASHIRE COMBINATION DIVISION 1,1.0,FIRST ROUND PROPER,8.0,MORECAMBE,
1967.0,MIDLAND COUNTIES LEAGUE,3.0,FIRST ROUND PROPER,8.0,GRANTHAM TOWN,
1967.0,NORTH REGIONAL,1.0,FIRST ROUND PROPER,8.0,SOUTH SHIELDS,
1967.0,NORTHERN LEAGUE,1.0,FIRST ROUND PROPER,8.0,BISHOP AUCKLAND,
1967.0,SOUTHERN LEAGUE FIRST DIVISION,11.0,FIRST ROUND PROPER,8.0,ASHFORD TOWN,
1967.0,SOUTHERN PREMIER,2.0,FIRST ROUND PROPER,8.0,NUNEATON TOWN,
1967.0,UNITED COUNTIES LEAGUE DIVISION 1,2.0,FIRST ROUND PROPER,8.0,ST NEOTS TOWN,
1967.0,WEST MIDLANDS (REGIONAL) LEAGUE PREMIER DIVISION,5.0,FIRST ROUND PROPER,8.0,TAMWORTH,
1967.0,WESTERN LEAGUE,1.0,FIRST ROUND PROPER,8.0,WELTON ROVERS,
1968.0,ATHENIAN LEAGUE PREMIER DIVISION,2.0,FIRST ROUND PROPER,8.0,DAGENHAM,
1968.0,CHESHIRE COUNTY LEAGUE,1.0,FIRST ROUND PROPER,8.0,MACCLESFIELD TOWN,
1968.0,EASTERN COUNTIES LEAGUE,1.0,FIRST ROUND PROPER,8.0,LOWESTOFT TOWN,
1968.0,ISTHMIAN LEAGUE SENIOR SECTION,1.0,FIRST ROUND PROPER,8.0,ENFIELD,
1968.0,LANCASHIRE COMBINATION DIVISION 1,3.0,FIRST ROUND PROPER,8.0,SKELMERSDALE UNITED,
1968.0,MIDLAND COUNTIES LEAGUE,3.0,FIRST ROUND PROPER,8.0,ARNOLD,
1968.0,NORTHERN LEAGUE,1.0,FIRST ROUND PROPER,8.0,SPENNYMOOR UNITED,
1968.0,SOUTH WESTERN LEAGUE,1.0,FIRST ROUND PROPER,8.0,FALMOUTH TOWN,
1968.0,SOUTHERN LEAGUE FIRST DIVISION,10.0,FIRST ROUND PROPER,8.0,TONBRIDGE ANGELS,
1968.0,SOUTHERN PREMIER,15.0,FIRST ROUND PROPER,8.0,NUNEATON TOWN,
1968.0,WEARSIDE LEAGUE,3.0,FIRST ROUND PROPER,8.0,COLLIERY WELFARE,
1968.0,WEST MIDLANDS (REGIONAL) LEAGUE PREMIER DIVISION,3.0,FIRST ROUND PROPER,8.0,KIDDERMINSTER HARRIERS,
1968.0,WESTERN LEAGUE,2.0,FIRST ROUND PROPER,8.0,SALISBURY,
1969.0,ATHENIAN LEAGUE FIRST DIVISION,12.0,FIRST ROUND PROPER,8.0,CHESHAM UNITED,
1969.0,CHESHIRE COUNTY LEAGUE,1.0,FIRST ROUND PROPER,8.0,SKELMERSDALE UNITED,
1969.0,HAMPSHIRE LEAGUE DIVISION ONE,5.0,FIRST ROUND PROPER,8.0,WATERLOOVILLE,
1969.0,ISTHMIAN LEAGUE SENIOR SECTION,5.0,FIRST ROUND PROPER,8.0,WEALDSTONE,
1969.0,METROPOLITAN LEAGUE,1.0,FIRST ROUND PROPER,8.0,BURY TOWN,
1969.0,MIDLAND COUNTIES LEAGUE,4.0,FIRST ROUND PROPER,8.0,GRANTHAM TOWN,
1969.0,NORTHERN LEAGUE,3.0,FIRST ROUND PROPER,8.0,TOW LAW TOWN,
1969.0,SOUTHERN LEAGUE FIRST DIVISION,1.0,FIRST ROUND PROPER,8.0,BRENTWOOD TOWN,
1969.0,WEST MIDLANDS (REGIONAL) LEAGUE PREMIER DIVISION,1.0,FIRST ROUND PROPER,8.0,KIDDERMINSTER HARRIERS,
1970.0,ATHENIAN LEAGUE FIRST DIVISION,9.0,FIRST ROUND PROPER,8.0,CARSHALTON ATHLETIC,
1970.0,ATHENIAN LEAGUE PREMIER DIVISION,2.0,FIRST ROUND PROPER,8.0,WALTON & HERSHAM,
1970.0,CHESHIRE COUNTY LEAGUE,2.0,FIRST ROUND PROPER,8.0,MOSSLEY,
1970.0,ISTHMIAN LEAGUE SENIOR SECTION,1.0,FIRST ROUND PROPER,8.0,ENFIELD,
1970.0,LANCASHIRE COMBINATION,4.0,FIRST ROUND PROPER,8.0,KIRKBY TOWN,
1970.0,MIDLAND COUNTIES LEAGUE,1.0,FIRST ROUND PROPER,8.0,ALFRETON TOWN,
1970.0,NORTHERN LEAGUE,4.0,FIRST ROUND PROPER,8.0,SPENNYMOOR UNITED,
1970.0,SOUTH WESTERN LEAGUE,2.0,FIRST ROUND PROPER,8.0,FALMOUTH TOWN,
1970.0,SOUTHERN LEAGUE FIRST DIVISION,10.0,FIRST ROUND PROPER,8.0,CHELTENHAM TOWN,
